时间,实际功率(MW),预测功率_带NWP_XGB(MW),预测功率_无NWP_XGB(MW)
2018-08-25 00:00:00,7.121653,6.5170302,5.422262
2018-08-25 00:15:00,8.222756,6.758005,5.8820133
2018-08-25 00:30:00,9.359379,8.398952,6.5987616
2018-08-25 00:45:00,10.33616,9.159232,6.829089
2018-08-25 01:00:00,11.34847,9.291825,8.37294
2018-08-25 01:15:00,12.11214,11.004554,9.160075
2018-08-25 01:30:00,12.91133,11.539628,10.186928
2018-08-25 01:45:00,13.63947,12.425589,10.744055
2018-08-25 02:00:00,14.261070000000002,11.924246,10.895325
2018-08-25 02:15:00,14.7761,12.263915,11.531426
2018-08-25 02:30:00,15.30889,12.855365,10.708185
2018-08-25 02:45:00,15.68184,13.001335,11.414213
2018-08-25 03:00:00,15.912720000000002,12.938124,11.634047
2018-08-25 03:15:00,16.19688,12.875317,11.88032
2018-08-25 03:30:00,16.56983,13.106088,11.478368
2018-08-25 03:45:00,16.836229,13.265053,11.386997
2018-08-25 04:00:00,16.90727,13.072646,11.575019
2018-08-25 04:15:00,16.889509,12.985791,11.441861
2018-08-25 04:30:00,16.51655,13.042536,11.37892
2018-08-25 04:45:00,16.729670000000002,13.321302,11.504025
2018-08-25 05:00:00,16.56983,13.730275,11.56545
2018-08-25 05:15:00,16.26792,14.264025,11.457201
2018-08-25 05:30:00,15.7884,13.757545,11.586629
2018-08-25 05:45:00,14.81162,13.795612,11.395769
2018-08-25 06:00:00,15.29113,13.564305,10.555248
2018-08-25 06:15:00,13.621720000000002,13.270753,10.820976
2018-08-25 06:30:00,12.1299,12.735073,10.902566
2018-08-25 06:45:00,13.56844,12.286856,10.226646
2018-08-25 07:00:00,12.62717,11.594305,9.782679
2018-08-25 07:15:00,11.89902,10.953734,9.573476
2018-08-25 07:30:00,10.99327,9.160532,8.498181
2018-08-25 07:45:00,9.821133,8.555273,7.5100393
2018-08-25 08:00:00,9.128503,8.005382,6.9252768
2018-08-25 08:15:00,6.091588,6.1435356,5.8495536
2018-08-25 08:30:00,6.464543,5.727732,5.4089527
2018-08-25 08:45:00,5.754153,4.936983,4.3841553
2018-08-25 09:00:00,4.280096,4.019677,3.6538844
2018-08-25 09:15:00,1.98909,3.2522202,2.89297
2018-08-25 09:30:00,1.580616,2.098494,2.1380227
2018-08-25 09:45:00,1.172142,1.3358707,1.2158477
2018-08-25 10:00:00,1.136623,1.0965469,1.0872381
2018-08-25 10:15:00,0.532792,0.65654755,0.8710246
2018-08-25 10:30:00,0.159838,0.4000616,0.48701835
2018-08-25 10:45:00,0.0,0.22587395,0.33897948
2018-08-25 11:00:00,0.0,0.22587395,0.3264296
2018-08-25 11:15:00,0.0,0.22587395,0.3264296
2018-08-25 11:30:00,0.0,0.22587395,0.3264296
2018-08-25 11:45:00,0.0,0.22587395,0.32631373
2018-08-25 12:00:00,0.0,0.22663808,0.32721734
2018-08-25 12:15:00,0.0,0.22663808,0.32627964
2018-08-25 12:30:00,0.0,0.22631812,0.16320896
2018-08-25 12:45:00,0.0,0.22631812,0.16320896
2018-08-25 13:00:00,0.0,0.22555375,0.16320896
2018-08-25 13:15:00,0.0,0.22555375,0.16320896
2018-08-25 13:30:00,0.0,0.22555375,0.16320896
2018-08-25 13:45:00,0.0,0.22555375,0.16320896
2018-08-25 14:00:00,0.0,0.22555375,0.16320896
2018-08-25 14:15:00,0.0,0.22555375,0.16320896
2018-08-25 14:30:00,0.0,0.22295952,0.16320896
2018-08-25 14:45:00,0.0,0.22295952,0.16320896
2018-08-25 15:00:00,0.0,0.22295952,0.16320896
2018-08-25 15:15:00,0.0,0.22295952,0.16320896
2018-08-25 15:30:00,0.0,0.22295952,0.16320896
2018-08-25 15:45:00,0.0,0.22295952,0.16320896
2018-08-25 16:00:00,0.0,0.22295952,0.16320896
2018-08-25 16:15:00,0.0,0.22295952,0.16320896
2018-08-25 16:30:00,0.0,0.22295952,0.16320896
2018-08-25 16:45:00,0.0,0.22295952,0.16320896
2018-08-25 17:00:00,0.0,0.22295952,0.16320896
2018-08-25 17:15:00,0.0,0.22295952,0.16320896
2018-08-25 17:30:00,0.0,0.22295952,0.16320896
2018-08-25 17:45:00,0.0,0.22295952,0.16320896
2018-08-25 18:00:00,0.0,0.22295952,0.16320896
2018-08-25 18:15:00,0.0,0.22295952,0.16320896
2018-08-25 18:30:00,0.0,0.22295952,0.16320896
2018-08-25 18:45:00,0.0,0.22295952,0.16320896
2018-08-25 19:00:00,0.0,0.22295952,0.16320896
2018-08-25 19:15:00,0.0,0.22295952,0.16320896
2018-08-25 19:30:00,0.0,0.22295952,0.16320896
2018-08-25 19:45:00,0.0,0.22295952,0.16320896
2018-08-25 20:00:00,0.0,0.22295952,0.16320896
2018-08-25 20:15:00,0.0,0.22295952,0.16320896
2018-08-25 20:30:00,0.0,0.22295952,0.16320896
2018-08-25 20:45:00,0.0,0.22295952,0.16320896
2018-08-25 21:00:00,0.0,0.22295952,0.16320896
2018-08-25 21:15:00,0.0,0.22295952,0.16320896
2018-08-25 21:30:00,0.0,0.22295952,0.16320896
2018-08-25 21:45:00,0.0,0.24411511,0.2123146
2018-08-25 22:00:00,0.195357,0.32082987,0.36032033
2018-08-25 22:15:00,0.443993,0.6218159,0.5529356
2018-08-25 22:30:00,0.976785,0.9594195,0.96946573
2018-08-25 22:45:00,1.154383,1.6072259,1.4097302
2018-08-25 23:00:00,1.33198,2.290679,2.2855768
2018-08-25 23:15:00,1.33198,3.1721125,3.1573968
2018-08-25 23:30:00,2.131168,4.104968,3.7878127
2018-08-25 23:45:00,2.752759,4.542063,4.574049
2018-08-26 00:00:00,3.392109,6.251947,4.8947577
2018-08-26 00:15:00,3.267791,6.9732666,5.6650653
2018-08-26 00:30:00,3.924901,7.8533955,7.0009794
