时间,实际功率(MW),预测功率_带NWP_XGB(MW),预测功率_无NWP_XGB(MW)
2019-05-25 00:00:00,6.819737,7.2908382,6.4417315
2019-05-25 00:15:00,7.743244,7.853202,7.139923
2019-05-25 00:30:00,8.61347,8.580679,8.401484
2019-05-25 00:45:00,9.465938,9.075069,7.8236647
2019-05-25 01:00:00,10.31841,10.100578,8.194684
2019-05-25 01:15:00,11.17087,10.612086,7.9227943
2019-05-25 01:30:00,12.00558,11.2385845,8.642297
2019-05-25 01:45:00,12.50285,11.897181,8.992562
2019-05-25 02:00:00,12.98236,12.438077,11.14419
2019-05-25 02:15:00,13.47964,13.689497,11.554316
2019-05-25 02:30:00,13.95915,13.451908,11.238899
2019-05-25 02:45:00,14.47418,14.160153,12.308651
2019-05-25 03:00:00,14.6873,14.346198,12.784489
2019-05-25 03:15:00,14.8649,14.034083,12.045585
2019-05-25 03:30:00,14.79386,14.184997,12.333327
2019-05-25 03:45:00,15.23785,14.316094,11.924143
2019-05-25 04:00:00,11.79246,14.184997,12.485149
2019-05-25 04:15:00,6.1803870000000005,14.142455,11.995801
2019-05-25 04:30:00,7.139411999999999,14.453541,12.911302
2019-05-25 04:45:00,6.926296000000001,14.331273,13.668246
2019-05-25 05:00:00,6.837497,12.557067,12.50653
2019-05-25 05:15:00,6.713178999999999,11.701955,12.154263
2019-05-25 05:30:00,14.75834,11.3577,11.768602
2019-05-25 05:45:00,14.58074,10.51155,10.8916
2019-05-25 06:00:00,9.235061,9.857829,10.652872
2019-05-25 06:15:00,13.28428,9.438826,10.64548
2019-05-25 06:30:00,12.64493,8.725611,10.620494
2019-05-25 06:45:00,12.43181,6.6652527,9.89276
2019-05-25 07:00:00,11.15311,7.974681,9.860448
2019-05-25 07:15:00,10.88672,5.404408,8.808596
2019-05-25 07:30:00,9.821133,5.3213882,7.911518
2019-05-25 07:45:00,4.102498000000001,7.1551285,7.3892226
2019-05-25 08:00:00,8.577950999999999,6.768239,6.9197392
2019-05-25 08:15:00,2.965875,6.069432,6.5155773
2019-05-25 08:30:00,5.487758,5.753562,5.7588816
2019-05-25 08:45:00,4.706329,4.991026,4.6107078
2019-05-25 09:00:00,3.889381,4.2652545,3.777242
2019-05-25 09:15:00,3.4809080000000003,3.5272605,2.6067505
2019-05-25 09:30:00,2.504122,3.2623215,3.2240782
2019-05-25 09:45:00,1.775973,2.9352694,2.8640723
2019-05-25 10:00:00,1.296461,1.6459119,1.5280099
2019-05-25 10:15:00,0.781428,1.3089266,1.1194551
2019-05-25 10:30:00,0.266396,0.97684264,0.5918696
2019-05-25 10:45:00,0.177597,0.6095731,0.40532804
2019-05-25 11:00:00,0.071039,0.4412434,0.36455894
2019-05-25 11:15:00,0.0,0.24405837,0.17233706
2019-05-25 11:30:00,0.0,0.22671413,0.17233706
2019-05-25 11:45:00,0.0,0.22683215,0.17222118
2019-05-25 12:00:00,0.0,0.22759628,0.17218637
2019-05-25 12:15:00,0.0,0.22759628,0.17124867
2019-05-25 12:30:00,0.0,0.22715831,0.17116547
2019-05-25 12:45:00,0.0,0.22715831,0.17116547
2019-05-25 13:00:00,0.0,0.22639418,0.17120957
2019-05-25 13:15:00,0.0,0.22639418,0.17120957
2019-05-25 13:30:00,0.0,0.22639418,0.17120957
2019-05-25 13:45:00,0.0,0.22639418,0.17120957
2019-05-25 14:00:00,0.0,0.22639418,0.17120957
2019-05-25 14:15:00,0.0,0.22639418,0.17120957
2019-05-25 14:30:00,0.0,0.22639418,0.17120957
2019-05-25 14:45:00,0.0,0.22639418,0.17120957
2019-05-25 15:00:00,0.0,0.22639418,0.17120957
2019-05-25 15:15:00,0.0,0.22639418,0.17120957
2019-05-25 15:30:00,0.0,0.22639418,0.17120957
2019-05-25 15:45:00,0.0,0.22639418,0.17120957
2019-05-25 16:00:00,0.0,0.2258513,0.17120957
2019-05-25 16:15:00,0.0,0.2258513,0.17120957
2019-05-25 16:30:00,0.0,0.2258513,0.17120957
2019-05-25 16:45:00,0.0,0.2258513,0.17120957
2019-05-25 17:00:00,0.0,0.2258513,0.17120957
2019-05-25 17:15:00,0.0,0.2258513,0.17120957
2019-05-25 17:30:00,0.0,0.2258513,0.17120957
2019-05-25 17:45:00,0.0,0.2258513,0.17120957
2019-05-25 18:00:00,0.0,0.2258513,0.17120957
2019-05-25 18:15:00,0.0,0.2258513,0.17120957
2019-05-25 18:30:00,0.0,0.2258513,0.17120957
2019-05-25 18:45:00,0.0,0.2258513,0.17120957
2019-05-25 19:00:00,0.0,0.2258513,0.17120957
2019-05-25 19:15:00,0.0,0.2258513,0.17120957
2019-05-25 19:30:00,0.0,0.2258513,0.17120957
2019-05-25 19:45:00,0.0,0.2258513,0.17120957
2019-05-25 20:00:00,0.0,0.2258513,0.17120957
2019-05-25 20:15:00,0.0,0.22387695,0.17120957
2019-05-25 20:30:00,0.0,0.22387695,0.17120957
2019-05-25 20:45:00,0.0,0.22387695,0.17120957
2019-05-25 21:00:00,0.0,0.32132936,0.17120957
