起报时间,预报时间,实际功率(MW),XGBoost预测功率(MW)
2019/02/21/00:00,2019/02/22/00:00,2.00685,2.064258
2019/02/21/00:00,2019/02/22/00:15,2.148928,2.7916834
2019/02/21/00:00,2019/02/22/00:30,2.8237970000000003,3.5560908
2019/02/21/00:00,2019/02/22/00:45,3.800583,4.29647
2019/02/21/00:00,2019/02/22/01:00,4.724089,5.940424
2019/02/21/00:00,2019/02/22/01:15,4.972725,6.6442113
2019/02/21/00:00,2019/02/22/01:30,5.416718,7.345557
2019/02/21/00:00,2019/02/22/01:45,7.441327999999999,8.206431
2019/02/21/00:00,2019/02/22/02:00,7.725484,9.615509
2019/02/21/00:00,2019/02/22/02:15,8.471392999999999,10.644727
2019/02/21/00:00,2019/02/22/02:30,9.394898,11.023307
2019/02/21/00:00,2019/02/22/02:45,9.838892,11.489423
2019/02/21/00:00,2019/02/22/03:00,11.66814,12.092102
2019/02/21/00:00,2019/02/22/03:15,11.8635,12.007377
2019/02/21/00:00,2019/02/22/03:30,13.1422,12.023816
2019/02/21/00:00,2019/02/22/03:45,13.1422,11.761612
2019/02/21/00:00,2019/02/22/04:00,13.1422,11.805821
2019/02/21/00:00,2019/02/22/04:15,13.08892,11.805821
2019/02/21/00:00,2019/02/22/04:30,12.37853,11.8303175
2019/02/21/00:00,2019/02/22/04:45,12.36077,11.821341
2019/02/21/00:00,2019/02/22/05:00,11.7747,11.827472
2019/02/21/00:00,2019/02/22/05:15,8.70227,11.961339
2019/02/21/00:00,2019/02/22/05:30,7.032854,11.969646
2019/02/21/00:00,2019/02/22/05:45,6.5533410000000005,12.168799
2019/02/21/00:00,2019/02/22/06:00,6.056069,10.836928
2019/02/21/00:00,2019/02/22/06:15,5.896230999999999,10.991866
2019/02/21/00:00,2019/02/22/06:30,5.7896730000000005,10.2728615
2019/02/21/00:00,2019/02/22/06:45,5.452238,10.255669
2019/02/21/00:00,2019/02/22/07:00,4.475453,9.906592
2019/02/21/00:00,2019/02/22/07:15,3.871622,9.531513
2019/02/21/00:00,2019/02/22/07:30,3.392109,9.195131
2019/02/21/00:00,2019/02/22/07:45,2.8237970000000003,8.113653
2019/02/21/00:00,2019/02/22/08:00,2.66396,6.0050187
2019/02/21/00:00,2019/02/22/08:15,2.326525,5.59552
2019/02/21/00:00,2019/02/22/08:30,1.847012,5.3012233
2019/02/21/00:00,2019/02/22/08:45,1.474058,4.6949525
2019/02/21/00:00,2019/02/22/09:00,1.118863,2.565695
2019/02/21/00:00,2019/02/22/09:15,0.586071,1.1937397
2019/02/21/00:00,2019/02/22/09:30,0.266396,0.4236226
2019/02/21/00:00,2019/02/22/09:45,0.0177599999999999,0.14067197
2019/02/21/00:00,2019/02/22/10:00,0.0,0.09079027
2019/02/21/00:00,2019/02/22/10:15,0.0,0.09079027
2019/02/21/00:00,2019/02/22/10:30,0.0,0.09079027
2019/02/21/00:00,2019/02/22/10:45,0.0,0.09079027
2019/02/21/00:00,2019/02/22/11:00,0.0,0.049380302
2019/02/21/00:00,2019/02/22/11:15,0.0,0.049380302
2019/02/21/00:00,2019/02/22/11:30,0.0,0.049380302
2019/02/21/00:00,2019/02/22/11:45,0.0,0.049380302
2019/02/21/00:00,2019/02/22/12:00,0.0,0.03709817
2019/02/21/00:00,2019/02/22/12:15,0.0,0.03709817
2019/02/21/00:00,2019/02/22/12:30,0.0,0.03709817
2019/02/21/00:00,2019/02/22/12:45,0.0,0.03709817
2019/02/21/00:00,2019/02/22/13:00,0.0,0.045635223
2019/02/21/00:00,2019/02/22/13:15,0.0,0.045635223
2019/02/21/00:00,2019/02/22/13:30,0.0,0.045635223
2019/02/21/00:00,2019/02/22/13:45,0.0,0.045635223
2019/02/21/00:00,2019/02/22/14:00,0.0,0.04565239
2019/02/21/00:00,2019/02/22/14:15,0.0,0.04565239
2019/02/21/00:00,2019/02/22/14:30,0.0,0.04565239
2019/02/21/00:00,2019/02/22/14:45,0.0,0.04565239
2019/02/21/00:00,2019/02/22/15:00,0.0,0.04565239
2019/02/21/00:00,2019/02/22/15:15,0.0,0.04565239
2019/02/21/00:00,2019/02/22/15:30,0.0,0.04565239
2019/02/21/00:00,2019/02/22/15:45,0.0,0.04565239
2019/02/21/00:00,2019/02/22/16:00,0.0,0.04565239
2019/02/21/00:00,2019/02/22/16:15,0.0,0.04565239
2019/02/21/00:00,2019/02/22/16:30,0.0,0.04565239
2019/02/21/00:00,2019/02/22/16:45,0.0,0.04565239
2019/02/21/00:00,2019/02/22/17:00,0.0,0.04565239
2019/02/21/00:00,2019/02/22/17:15,0.0,0.04565239
2019/02/21/00:00,2019/02/22/17:30,0.0,0.04565239
2019/02/21/00:00,2019/02/22/17:45,0.0,0.04565239
2019/02/21/00:00,2019/02/22/18:00,0.0,0.04565239
2019/02/21/00:00,2019/02/22/18:15,0.0,0.04565239
2019/02/21/00:00,2019/02/22/18:30,0.0,0.04565239
2019/02/21/00:00,2019/02/22/18:45,0.0,0.04565239
2019/02/21/00:00,2019/02/22/19:00,0.0,0.051077604
2019/02/21/00:00,2019/02/22/19:15,0.0,0.051077604
2019/02/21/00:00,2019/02/22/19:30,0.0,0.051077604
2019/02/21/00:00,2019/02/22/19:45,0.0,0.051077604
2019/02/21/00:00,2019/02/22/20:00,0.0,0.051077604
2019/02/21/00:00,2019/02/22/20:15,0.0,0.051077604
2019/02/21/00:00,2019/02/22/20:30,0.0,0.051077604
2019/02/21/00:00,2019/02/22/20:45,0.0,0.051077604
2019/02/21/00:00,2019/02/22/21:00,0.0,0.051077604
2019/02/21/00:00,2019/02/22/21:15,0.0,0.051077604
2019/02/21/00:00,2019/02/22/21:30,0.0,0.051077604
2019/02/21/00:00,2019/02/22/21:45,0.0,0.051077604
2019/02/21/00:00,2019/02/22/22:00,0.0,0.05578327
2019/02/21/00:00,2019/02/22/22:15,0.0,0.05578327
2019/02/21/00:00,2019/02/22/22:30,0.0,0.05578327
2019/02/21/00:00,2019/02/22/22:45,0.0,0.05578327
2019/02/21/00:00,2019/02/22/23:00,0.0,0.093313456
2019/02/21/00:00,2019/02/22/23:15,0.355195,0.38167262
2019/02/21/00:00,2019/02/22/23:30,1.207662,0.76289415
2019/02/21/00:00,2019/02/22/23:45,2.379804,2.2974756
2019/02/22/00:00,2019/02/23/00:00,3.516427,4.221629
2019/02/22/00:00,2019/02/23/00:15,4.741848,4.281886
2019/02/22/00:00,2019/02/23/00:30,6.002789,5.513822
2019/02/22/00:00,2019/02/23/00:45,7.29925,5.857441
2019/02/22/00:00,2019/02/23/01:00,8.560191,8.797811
2019/02/22/00:00,2019/02/23/01:15,9.696815,9.615699
2019/02/22/00:00,2019/02/23/01:30,10.83344,9.598161
2019/02/22/00:00,2019/02/23/01:45,11.75694,9.8495
2019/02/22/00:00,2019/02/23/02:00,12.57389,11.046997
2019/02/22/00:00,2019/02/23/02:15,13.4086,11.208165
2019/02/22/00:00,2019/02/23/02:30,14.012429999999998,11.303844
2019/02/22/00:00,2019/02/23/02:45,14.52746,11.218272
2019/02/22/00:00,2019/02/23/03:00,14.98921,11.712402
2019/02/22/00:00,2019/02/23/03:15,15.48649,12.532232
2019/02/22/00:00,2019/02/23/03:30,15.89496,12.664665
2019/02/22/00:00,2019/02/23/03:45,16.161360000000002,12.547252
2019/02/22/00:00,2019/02/23/04:00,16.35671,12.688346
2019/02/22/00:00,2019/02/23/04:15,16.374470000000002,12.767699
2019/02/22/00:00,2019/02/23/04:30,16.374470000000002,13.016129
2019/02/22/00:00,2019/02/23/04:45,16.35671,13.049649
2019/02/22/00:00,2019/02/23/05:00,16.21464,12.76961
2019/02/22/00:00,2019/02/23/05:15,15.89496,11.642198
2019/02/22/00:00,2019/02/23/05:30,15.41545,11.776545
2019/02/22/00:00,2019/02/23/05:45,15.00697,11.761211
2019/02/22/00:00,2019/02/23/06:00,14.5097,11.029497
2019/02/22/00:00,2019/02/23/06:15,13.5862,11.224862
2019/02/22/00:00,2019/02/23/06:30,12.82253,11.07723
2019/02/22/00:00,2019/02/23/06:45,11.9523,11.330281
2019/02/22/00:00,2019/02/23/07:00,11.02879,10.917824
2019/02/22/00:00,2019/02/23/07:15,9.696815,10.526762
2019/02/22/00:00,2019/02/23/07:30,8.64899,10.458492
2019/02/22/00:00,2019/02/23/07:45,7.352530000000001,9.670232
2019/02/22/00:00,2019/02/23/08:00,6.162627,7.459462
2019/02/22/00:00,2019/02/23/08:15,4.954966000000001,7.2102237
2019/02/22/00:00,2019/02/23/08:30,3.853862,5.360955
2019/02/22/00:00,2019/02/23/08:45,2.68172,5.279528
2019/02/22/00:00,2019/02/23/09:00,1.616136,2.897265
2019/02/22/00:00,2019/02/23/09:15,0.8879870000000001,0.8751209
2019/02/22/00:00,2019/02/23/09:30,0.355195,0.45891023
2019/02/22/00:00,2019/02/23/09:45,0.071039,0.17867899
2019/02/22/00:00,2019/02/23/10:00,0.0,0.13345814
2019/02/22/00:00,2019/02/23/10:15,0.0,0.13345814
2019/02/22/00:00,2019/02/23/10:30,0.0,0.13345814
2019/02/22/00:00,2019/02/23/10:45,0.0,0.13345814
2019/02/22/00:00,2019/02/23/11:00,0.0,0.06394076
2019/02/22/00:00,2019/02/23/11:15,0.0,0.06394076
2019/02/22/00:00,2019/02/23/11:30,0.0,0.06394076
2019/02/22/00:00,2019/02/23/11:45,0.0,0.06394076
2019/02/22/00:00,2019/02/23/12:00,0.0,0.05151558
2019/02/22/00:00,2019/02/23/12:15,0.0,0.05151558
2019/02/22/00:00,2019/02/23/12:30,0.0,0.05151558
2019/02/22/00:00,2019/02/23/12:45,0.0,0.05151558
2019/02/22/00:00,2019/02/23/13:00,0.0,0.060181618
2019/02/22/00:00,2019/02/23/13:15,0.0,0.060181618
2019/02/22/00:00,2019/02/23/13:30,0.0,0.060181618
2019/02/22/00:00,2019/02/23/13:45,0.0,0.060181618
2019/02/22/00:00,2019/02/23/14:00,0.0,0.0600698
2019/02/22/00:00,2019/02/23/14:15,0.0,0.0600698
2019/02/22/00:00,2019/02/23/14:30,0.0,0.0600698
2019/02/22/00:00,2019/02/23/14:45,0.0,0.0600698
2019/02/22/00:00,2019/02/23/15:00,0.0,0.0600698
2019/02/22/00:00,2019/02/23/15:15,0.0,0.0600698
2019/02/22/00:00,2019/02/23/15:30,0.0,0.0600698
2019/02/22/00:00,2019/02/23/15:45,0.0,0.0600698
2019/02/22/00:00,2019/02/23/16:00,0.0,0.0600698
2019/02/22/00:00,2019/02/23/16:15,0.0,0.0600698
2019/02/22/00:00,2019/02/23/16:30,0.0,0.0600698
2019/02/22/00:00,2019/02/23/16:45,0.0,0.0600698
2019/02/22/00:00,2019/02/23/17:00,0.0,0.0600698
2019/02/22/00:00,2019/02/23/17:15,0.0,0.0600698
2019/02/22/00:00,2019/02/23/17:30,0.0,0.0600698
2019/02/22/00:00,2019/02/23/17:45,0.0,0.0600698
2019/02/22/00:00,2019/02/23/18:00,0.0,0.0600698
2019/02/22/00:00,2019/02/23/18:15,0.0,0.0600698
2019/02/22/00:00,2019/02/23/18:30,0.0,0.0600698
2019/02/22/00:00,2019/02/23/18:45,0.0,0.0600698
2019/02/22/00:00,2019/02/23/19:00,0.0,0.065541744
2019/02/22/00:00,2019/02/23/19:15,0.0,0.065541744
2019/02/22/00:00,2019/02/23/19:30,0.0,0.065541744
2019/02/22/00:00,2019/02/23/19:45,0.0,0.065541744
2019/02/22/00:00,2019/02/23/20:00,0.0,0.065541744
2019/02/22/00:00,2019/02/23/20:15,0.0,0.065541744
2019/02/22/00:00,2019/02/23/20:30,0.0,0.065541744
2019/02/22/00:00,2019/02/23/20:45,0.0,0.065541744
2019/02/22/00:00,2019/02/23/21:00,0.0,0.065541744
2019/02/22/00:00,2019/02/23/21:15,0.0,0.065541744
2019/02/22/00:00,2019/02/23/21:30,0.0,0.065541744
2019/02/22/00:00,2019/02/23/21:45,0.0,0.065541744
2019/02/22/00:00,2019/02/23/22:00,0.0,0.07024717
2019/02/22/00:00,2019/02/23/22:15,0.0,0.07024717
2019/02/22/00:00,2019/02/23/22:30,0.0,0.07024717
2019/02/22/00:00,2019/02/23/22:45,0.0,0.07024717
2019/02/22/00:00,2019/02/23/23:00,0.071039,0.11492753
2019/02/22/00:00,2019/02/23/23:15,0.230877,0.42763782
2019/02/22/00:00,2019/02/23/23:30,0.63935,1.1497848
2019/02/22/00:00,2019/02/23/23:45,1.864772,2.79806
2019/02/23/00:00,2019/02/24/00:00,2.841557,4.52561
2019/02/23/00:00,2019/02/24/00:15,3.800583,4.8404093
2019/02/23/00:00,2019/02/24/00:30,4.795128,5.607631
2019/02/23/00:00,2019/02/24/00:45,5.96727,5.816504
2019/02/23/00:00,2019/02/24/01:00,6.766458,7.948654
2019/02/23/00:00,2019/02/24/01:15,7.707724000000001,9.387309
2019/02/23/00:00,2019/02/24/01:30,8.808827,9.079925
2019/02/23/00:00,2019/02/24/01:45,9.980969,9.247963
2019/02/23/00:00,2019/02/24/02:00,10.92224,10.111703
2019/02/23/00:00,2019/02/24/02:15,11.65038,10.119869
2019/02/23/00:00,2019/02/24/02:30,12.52061,10.558223
2019/02/23/00:00,2019/02/24/02:45,13.15996,11.9353
2019/02/23/00:00,2019/02/24/03:00,13.15996,12.646386
2019/02/23/00:00,2019/02/24/03:15,13.15996,12.673101
2019/02/23/00:00,2019/02/24/03:30,13.15996,12.433578
2019/02/23/00:00,2019/02/24/03:45,13.15996,12.294006
2019/02/23/00:00,2019/02/24/04:00,12.87581,12.314082
2019/02/23/00:00,2019/02/24/04:15,12.87581,12.380535
2019/02/23/00:00,2019/02/24/04:30,12.87581,12.32146
2019/02/23/00:00,2019/02/24/04:45,12.37853,12.248304
2019/02/23/00:00,2019/02/24/05:00,11.43727,12.227013
2019/02/23/00:00,2019/02/24/05:15,10.51376,12.042663
2019/02/23/00:00,2019/02/24/05:30,10.28289,12.232012
2019/02/23/00:00,2019/02/24/05:45,7.636685000000001,12.085421
