datetime,实际功率(MW),预测功率_无NWP(MW),预测功率_原始NWP(MW),预测功率_降尺度NWP(MW)
2018-08-25 00:00:00,7.121653,5.5387015,6.623728,6.4228687
2018-08-25 00:15:00,8.222756,5.9766216,6.984741,6.754342
2018-08-25 00:30:00,9.359379,7.1734543,8.336047,8.406121
2018-08-25 00:45:00,10.33616,7.5515127,9.088443,9.19778
2018-08-25 01:00:00,11.34847,8.829983,9.847934,9.813699
2018-08-25 01:15:00,12.11214,9.460866,11.081322,10.785236
2018-08-25 01:30:00,12.91133,10.364119,11.567963,11.708196
2018-08-25 01:45:00,13.63947,10.977231,12.883355,12.094133
2018-08-25 02:00:00,14.261070000000002,11.278605,12.850328,12.414456
2018-08-25 02:15:00,14.7761,11.144795,12.786073,12.753211
2018-08-25 02:30:00,15.30889,11.904111,13.061804,13.055762
2018-08-25 02:45:00,15.68184,12.004977,12.994417,12.621962
2018-08-25 03:00:00,15.912720000000002,11.964229,12.616536,12.358783
2018-08-25 03:15:00,16.19688,12.161083,12.551967,12.42883
2018-08-25 03:30:00,16.56983,11.587709,12.710289,12.492733
2018-08-25 03:45:00,16.836229,11.587709,12.8803425,12.517393
2018-08-25 04:00:00,16.90727,12.161083,12.807288,12.3892765
2018-08-25 04:15:00,16.889509,11.718573,12.840388,12.686982
2018-08-25 04:30:00,16.51655,12.296815,13.286568,13.299385
2018-08-25 04:45:00,16.729670000000002,12.296815,13.283269,14.672009
2018-08-25 05:00:00,16.56983,12.498191,14.29492,14.831604
2018-08-25 05:15:00,16.26792,12.210816,14.467171,15.100508
2018-08-25 05:30:00,15.7884,12.040928,13.993779,14.483934
2018-08-25 05:45:00,14.81162,12.172359,13.969938,14.244373
2018-08-25 06:00:00,15.29113,11.399774,13.797844,13.688766
2018-08-25 06:15:00,13.621720000000002,11.1842575,13.522357,13.54199
2018-08-25 06:30:00,12.1299,11.425229,13.361169,12.883054
2018-08-25 06:45:00,13.56844,10.083482,12.549685,12.379634
2018-08-25 07:00:00,12.62717,9.477009,11.588565,11.854143
2018-08-25 07:15:00,11.89902,9.534733,11.254642,11.494545
2018-08-25 07:30:00,10.99327,8.771978,9.967975,10.040104
2018-08-25 07:45:00,9.821133,7.8076477,8.833681,8.883311
2018-08-25 08:00:00,9.128503,6.8807964,8.135896,7.975312
2018-08-25 08:15:00,6.091588,5.921563,6.2292,6.018775
2018-08-25 08:30:00,6.464543,5.623173,5.709238,5.654502
2018-08-25 08:45:00,5.754153,4.3723,5.035432,5.176013
2018-08-25 09:00:00,4.280096,3.7681148,3.994559,4.0478406
2018-08-25 09:15:00,1.98909,2.7775972,3.3282871,3.3438962
2018-08-25 09:30:00,1.580616,1.9700282,2.093087,2.013298
2018-08-25 09:45:00,1.172142,1.254375,1.2854109,1.4043865
2018-08-25 10:00:00,1.136623,0.77413964,1.1044023,1.1210911
2018-08-25 10:15:00,0.532792,0.43033075,0.6503897,0.6428132
2018-08-25 10:30:00,0.159838,0.24706697,0.40472436,0.32966924
2018-08-25 10:45:00,0.0,0.11027622,0.23356819,0.23221016
2018-08-25 11:00:00,0.0,0.09299636,0.23356819,0.19698548
2018-08-25 11:15:00,0.0,0.09299636,0.23356819,0.19698548
2018-08-25 11:30:00,0.0,0.09299636,0.23356819,0.19698548
2018-08-25 11:45:00,0.0,0.09299636,0.23356819,0.19698548
2018-08-25 12:00:00,0.0,0.092417,0.23356819,0.19698548
2018-08-25 12:15:00,0.0,0.09219384,0.23356819,0.19698548
2018-08-25 12:30:00,0.0,0.09061313,0.23356819,0.19698548
2018-08-25 12:45:00,0.0,0.09061313,0.23356819,0.19698548
2018-08-25 13:00:00,0.0,0.09062147,0.23356819,0.19698548
2018-08-25 13:15:00,0.0,0.09062147,0.23356819,0.19698548
2018-08-25 13:30:00,0.0,0.09062147,0.23356819,0.19698548
2018-08-25 13:45:00,0.0,0.09062147,0.23356819,0.19698548
2018-08-25 14:00:00,0.0,0.09062147,0.23356819,0.19698548
2018-08-25 14:15:00,0.0,0.09062147,0.23356819,0.19698548
2018-08-25 14:30:00,0.0,0.09062147,0.2319107,0.19327116
2018-08-25 14:45:00,0.0,0.09062147,0.2319107,0.19327116
2018-08-25 15:00:00,0.0,0.09062147,0.2319107,0.19327116
