datetime,实际功率(MW),预测功率_无NWP(MW),预测功率_原始NWP(MW),预测功率_降尺度NWP(MW)
2019-05-25 00:00:00,6.819737,6.136581,7.338513,7.6119385
2019-05-25 00:15:00,7.743244,7.0056496,8.227652,8.291613
2019-05-25 00:30:00,8.61347,8.350851,8.550915,8.939954
2019-05-25 00:45:00,9.465938,7.5565786,8.9702635,9.2259
2019-05-25 01:00:00,10.31841,8.467458,10.288456,10.394352
2019-05-25 01:15:00,11.17087,8.067822,10.665299,10.84862
2019-05-25 01:30:00,12.00558,8.544468,11.198899,11.593191
2019-05-25 01:45:00,12.50285,8.915405,11.864498,12.0000725
2019-05-25 02:00:00,12.98236,10.388442,12.660995,13.078047
2019-05-25 02:15:00,13.47964,11.243761,13.725777,13.898012
2019-05-25 02:30:00,13.95915,10.842113,13.47865,13.420269
2019-05-25 02:45:00,14.47418,11.668813,14.359335,14.601211
2019-05-25 03:00:00,14.6873,11.841765,14.705033,14.861614
2019-05-25 03:15:00,14.8649,11.91216,14.042137,14.068227
2019-05-25 03:30:00,14.79386,12.068816,14.042137,14.158575
2019-05-25 03:45:00,15.23785,11.640448,14.182294,14.253344
2019-05-25 04:00:00,11.79246,12.069893,14.083148,14.179596
2019-05-25 04:15:00,6.1803870000000005,11.17616,14.008327,14.068227
2019-05-25 04:30:00,7.139411999999999,11.970835,14.819273,14.961322
2019-05-25 04:45:00,6.926296000000001,12.554848,14.502805,14.651888
2019-05-25 05:00:00,6.837497,12.498229,12.289166,12.858179
2019-05-25 05:15:00,6.713178999999999,12.24271,11.798284,12.132868
2019-05-25 05:30:00,14.75834,11.849017,11.369929,11.9917345
2019-05-25 05:45:00,14.58074,10.230021,10.912001,11.562758
2019-05-25 06:00:00,9.235061,10.035257,10.360722,10.64112
2019-05-25 06:15:00,13.28428,10.321203,9.441799,9.541893
2019-05-25 06:30:00,12.64493,9.879883,8.560257,7.7136927
2019-05-25 06:45:00,12.43181,9.3403635,7.2127166,6.6719017
2019-05-25 07:00:00,11.15311,10.055356,8.16502,6.536331
2019-05-25 07:15:00,10.88672,8.369927,6.693795,5.956005
2019-05-25 07:30:00,9.821133,7.758498,6.504404,6.040845
2019-05-25 07:45:00,4.102498000000001,7.3839846,7.454258,7.1399193
2019-05-25 08:00:00,8.577950999999999,6.6939898,6.9633417,7.0341997
2019-05-25 08:15:00,2.965875,6.114969,6.409791,6.2742534
2019-05-25 08:30:00,5.487758,5.323083,5.7935114,5.450325
2019-05-25 08:45:00,4.706329,4.1348085,5.05721,4.999157
2019-05-25 09:00:00,3.889381,3.6504197,4.48366,4.388553
2019-05-25 09:15:00,3.4809080000000003,2.477049,3.9003596,3.7309108
2019-05-25 09:30:00,2.504122,3.0371802,3.496546,3.6013024
2019-05-25 09:45:00,1.775973,2.7728798,2.820491,3.057236
2019-05-25 10:00:00,1.296461,1.377758,1.7012457,1.7162164
2019-05-25 10:15:00,0.781428,1.0372419,1.3814783,1.4002943
2019-05-25 10:30:00,0.266396,0.53654456,1.0830879,1.0828791
2019-05-25 10:45:00,0.177597,0.3032303,0.67351747,0.636719
2019-05-25 11:00:00,0.071039,0.25217772,0.40765262,0.47302556
2019-05-25 11:15:00,0.0,0.07348728,0.25346065,0.23696685
2019-05-25 11:30:00,0.0,0.07348728,0.23578978,0.19354224
2019-05-25 11:45:00,0.0,0.07348728,0.23578978,0.19354224
2019-05-25 12:00:00,0.0,0.072907925,0.23578978,0.19354224
2019-05-25 12:15:00,0.0,0.072684765,0.23578978,0.19354224
2019-05-25 12:30:00,0.0,0.07110405,0.23578978,0.19354224
2019-05-25 12:45:00,0.0,0.07110405,0.23578978,0.19354224
2019-05-25 13:00:00,0.0,0.071112394,0.23578978,0.19354224
2019-05-25 13:15:00,0.0,0.071112394,0.23578978,0.19354224
2019-05-25 13:30:00,0.0,0.071112394,0.23578978,0.19354224
2019-05-25 13:45:00,0.0,0.071112394,0.23578978,0.19354224
2019-05-25 14:00:00,0.0,0.071112394,0.23578978,0.19354224
2019-05-25 14:15:00,0.0,0.071112394,0.23578978,0.19354224
2019-05-25 14:30:00,0.0,0.071112394,0.23578978,0.19354224
2019-05-25 14:45:00,0.0,0.071112394,0.23578978,0.19354224
2019-05-25 15:00:00,0.0,0.071112394,0.23578978,0.19354224
2019-05-25 15:15:00,0.0,0.071112394,0.23578978,0.19354224
2019-05-25 15:30:00,0.0,0.071112394,0.23578978,0.19354224
2019-05-25 15:45:00,0.0,0.071112394,0.23578978,0.19354224
2019-05-25 16:00:00,0.0,0.071112394,0.23449898,0.19335866
2019-05-25 16:15:00,0.0,0.071112394,0.23449898,0.19335866
2019-05-25 16:30:00,0.0,0.071112394,0.23449898,0.19335866
2019-05-25 16:45:00,0.0,0.071112394,0.23449898,0.19335866
2019-05-25 17:00:00,0.0,0.071112394,0.23449898,0.19335866
2019-05-25 17:15:00,0.0,0.071112394,0.23449898,0.19335866
2019-05-25 17:30:00,0.0,0.071112394,0.23449898,0.19335866
2019-05-25 17:45:00,0.0,0.071112394,0.23449898,0.19335866
2019-05-25 18:00:00,0.0,0.071112394,0.23449898,0.19335866
2019-05-25 18:15:00,0.0,0.071112394,0.23449898,0.19335866
2019-05-25 18:30:00,0.0,0.071112394,0.23449898,0.19335866
2019-05-25 18:45:00,0.0,0.071112394,0.23449898,0.19335866
2019-05-25 19:00:00,0.0,0.071112394,0.23449898,0.19335866
2019-05-25 19:15:00,0.0,0.071112394,0.23449898,0.19335866
2019-05-25 19:30:00,0.0,0.071112394,0.23449898,0.19335866
